#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	Unknown_CH614-001R0001_good_metaphlan_bugs_list	Unknown_CH614-001R0002_good_metaphlan_bugs_list	Unknown_CH614-001R0003_good_metaphlan_bugs_list	Unknown_CH614-001R0004_good_metaphlan_bugs_list	Unknown_CH614-001R0005_good_metaphlan_bugs_list	Unknown_CH614-001R0006_good_metaphlan_bugs_list	Unknown_CH614-001R0007_good_metaphlan_bugs_list	Unknown_CH614-001R0008_good_metaphlan_bugs_list	Unknown_CH614-001R0009_good_metaphlan_bugs_list	Unknown_CH614-001R0010_good_metaphlan_bugs_list	Unknown_CH614-001R0011_good_metaphlan_bugs_list	Unknown_CH614-001R0012_good_metaphlan_bugs_list	Unknown_CH614-001R0013_good_metaphlan_bugs_list	Unknown_CH614-001R0014_good_metaphlan_bugs_list	Unknown_CH614-001R0015_good_metaphlan_bugs_list	Unknown_CH614-001R0016_good_metaphlan_bugs_list	Unknown_CH614-001R0017_good_metaphlan_bugs_list	Unknown_CH614-001R0018_good_metaphlan_bugs_list	Unknown_CH614-001R0019_good_metaphlan_bugs_list	Unknown_CH614-001R0020_good_metaphlan_bugs_list	Unknown_CH614-001R0021_good_metaphlan_bugs_list	Unknown_CH614-001R0022_good_metaphlan_bugs_list	Unknown_CH614-001R0023_good_metaphlan_bugs_list	Unknown_CH614-001R0024_good_metaphlan_bugs_list	Unknown_CH614-001R0025_good_metaphlan_bugs_list	Unknown_CH614-001R0026_good_metaphlan_bugs_list	Unknown_CH614-001R0027_good_metaphlan_bugs_list	Unknown_CH614-001R0028_good_metaphlan_bugs_list	Unknown_CH614-001R0029_good_metaphlan_bugs_list	Unknown_CH614-001R0030_good_metaphlan_bugs_list	Unknown_CH614-001R0031_good_metaphlan_bugs_list	Unknown_CH614-001R0032_good_metaphlan_bugs_list	Unknown_CH614-001R0033_good_metaphlan_bugs_list	Unknown_CH614-001R0034_good_metaphlan_bugs_list	Unknown_CH614-001R0035_good_metaphlan_bugs_list	Unknown_CH614-001R0036_good_metaphlan_bugs_list	Unknown_CH614-001R0037_good_metaphlan_bugs_list	Unknown_CH614-001R0038_good_metaphlan_bugs_list
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.29509	99.35108	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.62229	100.0	99.70044
k__Bacteria|p__Pseudomonadota	97.45027	25.85723	3.98669	99.91396	98.50345	15.46817	4.27587	97.42341	7.46924	6.85785	97.73924	0.03054	0.00623	0.00634	0.16451	100.0	0.07942	0.17712	0.00197	0.00561	0.00263	0.01571	0.50037	3.11205	12.15698	0.45436	2.5321	11.15496	9.19468	0.43279	0.01384	0.65159	0.32699	0.45196	99.90734	32.88838	99.00449	34.30033
k__Bacteria|p__Firmicutes	2.52059	74.14277	96.01179	0.0	1.10616	43.95172	16.46746	2.55423	92.5289	93.10514	2.26076	99.96946	99.99377	99.97042	23.34325	0.0	57.51871	19.70941	99.69975	99.99439	99.99737	99.98271	63.8406	68.27428	63.84422	61.07667	54.89114	47.7983	38.38344	62.36804	82.59992	63.68054	39.96951	69.08828	0.0	66.73391	0.0	65.38919
k__Bacteria|p__Bacteroidota	0.02914	0.0	0.00152	0.08604	0.06811	30.31524	36.70674	0.02022	0.00185	0.00505	0.0	0.0	0.0	0.0	33.38835	0.0	28.79552	33.48093	0.08815	0.0	0.0	0.0	32.54376	25.8874	21.15099	33.71388	38.32358	35.22453	39.57581	21.07598	1.22953	16.19301	2.39969	29.72246	0.09266	0.0	0.05643	0.01092
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	73.81344	23.54033	3.14209	99.91396	75.2311	11.64049	3.23278	97.42341	6.16987	5.20269	97.73924	0.03054	0.00623	0.00634	0.16451	100.0	0.07942	0.17712	0.00197	0.00561	0.00263	0.01571	0.0568	0.38298	0.09714	0.03509	0.04861	0.01417	0.01432	0.28974	0.00251	0.48586	0.12789	0.00366	76.43714	32.88838	71.79742	34.30033
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	17.77424	2.22551	0.33874	0.0	13.15938	2.13111	0.52246	0.0	0.69202	0.89566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28218	0.36065	0.97701	1.76019	2.98493	0.14305	0.01133	0.02659	0.19605	0.2043	12.74901	0.0	15.82364	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	5.86259	0.09139	0.50586	0.0	10.11297	1.69657	0.51612	0.0	0.60736	0.75949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.72119	0.0	11.38342	0.0
k__Bacteria|p__Firmicutes|c__Bacilli	2.52059	74.14277	96.01179	0.0	1.09686	13.08182	0.08303	2.4492	92.5289	93.10514	2.26076	99.96946	99.99377	99.97042	0.0	0.0	6.66635	0.0	99.37189	99.99439	99.99737	99.98271	0.46334	1.23232	0.35867	1.21555	0.59427	0.38207	0.03773	0.2081	3.62429	0.48066	2.84478	0.08598	0.0	66.73391	0.0	65.35526
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	0.02914	0.0	0.00152	0.0	0.06811	0.00872	0.00331	0.0	0.00185	0.00505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09266	0.0	0.05643	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales	62.3411	19.58728	1.4105	0.0056	55.10289	8.96711	2.20941	0.01395	2.7391	3.98978	0.00521	0.03054	0.00623	0.00634	0.16451	100.0	0.07942	0.12297	0.00133	0.00561	0.00263	0.0034	0.0065	0.00073	0.0013	0.00147	0.0015	0.00081	0.00257	0.06683	0.00251	0.00143	0.00101	0.00307	56.59539	0.00118	50.35697	0.0007
