#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	Unknown_BM251-ZX01-010001_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010002_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010003_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010004_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010005_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010006_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010007_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010008_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010009_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010010_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010011_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010012_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010013_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010014_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010015_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010016_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010017_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010018_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010019_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010020_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010021_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010022_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010023_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010024_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010025_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010026_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010027_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010028_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010029_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010030_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010031_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010032_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010033_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010034_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010035_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010036_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010037_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010038_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010039_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010040_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010041_good_metaphlan_bugs_list	Unknown_BM251-ZX01-010042_good_metaphlan_bugs_list
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	99.46056	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99165	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	100.0	43.25542	60.20965	66.4996	0.0	40.50302	43.96858	25.48459	65.85508	100.0	100.0	46.60609	100.0	51.52298	99.44702	66.6265	41.70594	71.46724	6.77474	100.0	63.02562	99.99218	49.94208	35.39513	8.93662	99.97128	64.90473	100.0	35.25593	97.45761	99.96563	99.08929	70.3988	90.90243	99.68067	59.75151	1.35556	100.0	100.0	98.00587	3.77011	31.61794
k__Bacteria|p__Firmicutes|c__Bacilli	100.0	2.20377	0.11682	4.36622	0.0	0.0	0.09214	25.4681	0.05967	100.0	100.0	0.07033	99.94082	0.01297	99.39931	1.23031	0.30138	0.56511	6.77474	100.0	0.07432	99.98555	0.14031	0.11377	8.45765	99.95088	1.23534	100.0	0.03938	97.39493	99.96563	99.08929	63.74841	86.67391	99.68067	57.21037	1.35556	100.0	100.0	96.46382	3.77011	31.61794
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	99.95525	2.20377	0.11682	4.36298	0.0	0.0	0.09214	25.4681	0.05967	3.45725	100.0	0.07033	99.93507	0.01297	99.39931	1.14804	0.30138	0.56511	6.77474	100.0	0.07432	99.98555	0.14031	0.11377	8.45765	99.95088	1.23534	100.0	0.03938	97.39493	99.95608	99.08929	63.74841	85.10842	99.68067	57.21037	1.35556	100.0	100.0	96.40412	3.77011	31.61794
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.04475	0.0	0.0	0.00325	0.0	0.0	0.0	0.0	0.0	96.54275	0.0	0.0	0.00575	0.0	0.0	0.08227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00955	0.0	0.0	1.5655	0.0	0.0	0.0	0.0	0.0	0.0597	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	99.95525	0.73847	0.06514	4.05417	0.0	0.0	0.0	25.2851	0.0	3.45725	99.88013	0.0	99.93507	0.0	99.39931	0.49572	0.0	0.01488	6.77474	100.0	0.02132	99.98555	0.00913	0.0	8.45765	99.95088	0.00261	100.0	0.0	97.39493	99.95608	99.08929	63.5251	82.5951	99.68067	0.0	1.35556	100.0	100.0	96.3482	3.77011	31.61794
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.04475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.54275	0.0	0.0	0.00575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00955	0.0	0.0	1.5655	0.0	0.0	0.0	0.0	0.0	0.0597	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	99.95525	0.05631	0.06514	0.0	0.0	0.0	0.0	24.61671	0.0	3.45725	99.79208	0.0	99.71331	0.0	97.93919	0.46618	0.0	0.0	6.77474	100.0	0.0	99.88099	0.00913	0.0	8.45765	99.95088	0.0	99.984	0.0	97.39493	99.95608	99.08929	63.16766	81.77367	99.17823	0.0	1.35556	100.0	100.0	96.33328	3.77011	31.61794
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0.04475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.54275	0.0	0.0	0.00575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00955	0.0	0.0	1.5655	0.0	0.0	0.0	0.0	0.0	0.0597	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus	99.95525	0.0	0.03694	0.0	0.0	0.0	0.0	3.39692	0.0	0.0	1.8296	0.0	76.33692	0.0	45.92411	0.18872	0.0	0.0	6.62049	97.66	0.0	98.89492	0.00913	0.0	6.98184	99.34209	0.0	99.984	0.0	97.39493	99.95608	99.08929	9.62948	79.40864	34.42121	0.0	1.3483	100.0	100.0	96.08242	3.77011	31.61794
